date,exact_matches,mean_hmm_cost,median_hmm_cost,rejected,scorpio,total,total_hmm_cost,inserted
2020-01-01,0,24.0,24.0,1,.,1,24.0,0
2020-01-10,0,15.0,15.0,1,.,1,15.0,0
2020-01-19,0,3.0,3.0,0,.,1,3.0,1
2020-01-24,0,1.0,1.0,0,.,2,2.0,2
2020-01-25,2,1.0,1.0,0,.,4,4.0,2
2020-01-28,1,1.6,1.0,0,.,5,8.0,4
2020-01-29,2,4.6,2.0,1,.,5,23.0,2
2020-01-30,2,2.0,3.0,0,.,11,22.0,9
2020-01-31,0,2.0,2.0,0,.,1,2.0,1
2020-02-01,1,2.07,2.0,0,.,14,29.0,13
2020-02-02,3,1.58,1.0,0,.,12,19.0,9
2020-02-03,0,1.5,1.0,0,.,6,9.0,6
2020-02-04,0,2.12,1.5,0,.,8,17.0,8
2020-02-05,3,1.0,0.0,0,.,4,4.0,1
2020-02-06,1,1.8,2.0,0,.,5,9.0,4
2020-02-07,2,0.67,0.0,0,.,3,2.0,1
2020-02-08,1,1.4,1.0,0,.,5,7.0,4
2020-02-09,2,1.25,1.0,0,.,4,5.0,2
2020-02-10,0,8.67,9.0,4,.,6,52.0,2
2020-02-11,1,0.5,0.5,0,.,2,1.0,1
2020-02-13,2,0.5,0.5,0,.,4,2.0,2
2020-02-14,6,2.57,0.0,1,.,7,18.0,0
2020-02-15,2,1.83,2.0,0,.,6,11.0,4
2020-02-16,3,0.4,0.0,0,.,5,2.0,2
2020-02-18,2,0.0,0.0,0,.,2,0.0,0
2020-02-19,2,0.0,0.0,0,.,2,0.0,0
2020-02-20,2,0.0,0.0,0,.,2,0.0,0
2020-02-21,1,1.0,1.0,0,.,3,3.0,2
2020-02-22,1,0.0,0.0,0,.,1,0.0,0
2020-02-23,1,0.0,0.0,0,.,1,0.0,0
2020-02-24,4,0.57,0.0,0,.,7,4.0,3
2020-02-25,5,1.1,0.5,0,.,10,11.0,5
2020-02-26,11,0.4,0.0,0,.,15,6.0,4
2020-02-27,14,1.17,1.0,0,.,30,35.0,16
2020-02-28,26,0.54,0.0,0,.,37,20.0,11
2020-02-29,24,0.54,0.0,0,.,35,19.0,11
2020-03-01,9,0.87,0.0,0,.,15,13.0,6
2020-03-02,12,1.17,0.0,0,.,18,21.0,6
2020-03-03,18,0.46,0.0,0,.,28,13.0,10
2020-03-04,24,0.8,0.0,0,.,41,33.0,17
2020-03-05,30,0.36,0.0,0,.,39,14.0,9
2020-03-06,28,0.57,0.0,0,.,44,25.0,16
2020-03-07,12,1.0,1.0,0,.,28,28.0,16
2020-03-08,21,0.62,0.0,0,.,29,18.0,8
2020-03-09,31,0.77,0.0,0,.,53,41.0,22
2020-03-10,43,0.92,0.0,2,.,74,68.0,29
2020-03-11,41,1.13,1.0,0,.,95,107.0,54
2020-03-12,68,0.71,0.0,0,.,125,89.0,57
2020-03-13,53,0.91,1.0,0,.,108,98.0,55
2020-03-14,65,0.7,0.0,0,.,115,80.0,50
2020-03-15,46,0.78,0.0,0,.,89,69.0,43
2020-03-16,83,0.75,0.0,0,.,150,113.0,67
2020-03-17,91,0.7,0.0,0,.,159,112.0,68
2020-03-17,0,24.0,24.0,1,B.1.617.1-like,1,24.0,0
2020-03-18,87,0.8,0.0,0,.,163,131.0,76
2020-03-19,95,0.98,1.0,0,.,237,233.0,142
2020-03-19,0,21.0,21.0,1,B.1.617.1-like,1,21.0,0
2020-03-20,118,1.17,1.0,0,.,301,351.0,183
2020-03-21,159,0.81,0.0,0,.,307,250.0,148
2020-03-22,162,0.76,0.0,1,.,304,232.0,141
2020-03-23,221,0.82,1.0,0,.,465,379.0,244
2020-03-24,234,0.89,1.0,1,.,503,447.0,268
2020-03-25,284,0.66,0.0,1,.,488,321.0,203
2020-03-26,267,0.77,0.0,0,.,526,405.0,259
2020-03-27,315,0.74,0.0,0,.,619,460.0,304
2020-03-28,273,0.82,0.0,0,.,533,437.0,260
2020-03-29,298,0.68,0.0,0,.,535,363.0,237
2020-03-30,355,0.82,0.0,0,.,706,578.0,351
2020-03-31,0,56.0,56.0,1,Omicron (BA.5-like),1,56.0,0
2020-03-31,308,0.78,0.0,0,.,577,451.0,269
2020-04-01,360,0.81,0.0,0,.,707,574.0,347
2020-04-02,271,0.79,0.0,0,.,534,421.0,263
2020-04-03,317,0.72,0.0,1,.,584,418.0,266
2020-04-04,238,0.74,0.0,1,.,431,317.0,192
2020-04-05,205,0.74,0.0,0,.,385,285.0,180
2020-04-06,310,0.76,0.0,0,.,598,456.0,288
2020-04-07,291,0.77,0.0,0,.,537,412.0,246
2020-04-08,237,0.81,0.0,1,.,470,383.0,232
2020-04-09,196,0.82,1.0,0,.,410,337.0,214
2020-04-10,246,0.76,0.0,0,.,455,344.0,209
2020-04-11,201,0.8,0.0,0,.,392,312.0,191
2020-04-12,223,0.82,0.0,2,.,389,319.0,164
2020-04-12,0,17.0,17.0,1,A.23.1-like,1,17.0,0
2020-04-12,0,27.0,27.0,1,Alpha (B.1.1.7-like),1,27.0,0
2020-04-13,238,0.9,1.0,0,.,493,446.0,255
2020-04-14,226,0.77,0.0,0,.,414,317.0,188
2020-04-15,165,0.86,1.0,0,.,332,284.0,167
2020-04-16,200,0.85,0.0,0,.,397,338.0,197
2020-04-17,207,0.75,0.0,1,.,370,276.0,162
2020-04-18,158,0.72,0.0,0,.,301,216.0,143
2020-04-19,103,0.88,0.0,0,.,200,176.0,97
2020-04-20,191,0.86,1.0,0,.,385,330.0,194
2020-04-21,209,0.83,1.0,0,.,419,349.0,210
2020-04-22,215,0.88,1.0,0,.,459,405.0,244
2020-04-23,179,0.9,1.0,0,.,375,338.0,196
2020-04-24,146,1.03,1.0,0,.,338,347.0,192
2020-04-25,99,0.8,0.0,0,.,182,146.0,83
2020-04-26,82,1.03,1.0,0,.,187,193.0,105
2020-04-27,161,0.97,1.0,0,.,349,339.0,188
2020-04-28,116,0.97,1.0,1,.,255,247.0,138
2020-04-29,152,1.0,1.0,0,.,318,318.0,166
2020-04-30,149,0.98,1.0,1,.,312,305.0,162
2020-05-01,167,1.12,1.0,0,.,345,388.0,178
2020-05-02,103,0.89,1.0,0,.,208,185.0,105
2020-05-03,77,0.98,1.0,0,.,175,172.0,98
2020-05-04,127,0.93,1.0,2,.,270,252.0,141
2020-05-04,0,18.0,18.0,1,Zeta (P.2-like),1,18.0,0
2020-05-05,127,1.3,1.0,3,.,290,377.0,160
2020-05-06,153,0.93,0.0,1,.,297,275.0,143
2020-05-06,0,22.0,22.0,1,Gamma (P.1-like),1,22.0,0
2020-05-07,88,1.05,1.0,0,.,191,201.0,103
2020-05-08,94,1.26,1.0,0,.,196,246.0,102
2020-05-09,75,1.07,1.0,0,.,163,174.0,88
2020-05-10,81,0.95,0.0,0,.,159,151.0,78
2020-05-11,143,1.06,0.5,2,.,286,303.0,141
2020-05-12,127,1.09,1.0,1,.,290,315.0,162
2020-05-13,128,1.54,1.0,0,.,348,537.0,220
2020-05-14,99,1.24,1.0,0,.,227,282.0,128
2020-05-15,82,1.15,1.0,3,.,182,210.0,97
2020-05-16,66,0.94,0.0,0,.,125,117.0,59
2020-05-17,63,1.08,0.0,1,.,121,131.0,57
2020-05-18,100,1.11,1.0,0,.,222,246.0,122
2020-05-19,87,1.35,1.0,2,.,200,270.0,111
2020-05-20,91,1.27,1.0,0,.,207,263.0,116
2020-05-21,88,1.1,1.0,0,.,185,203.0,97
2020-05-22,64,1.35,1.0,0,.,162,219.0,98
2020-05-23,46,1.08,0.0,0,.,89,96.0,43
2020-05-24,32,1.53,1.0,0,.,77,118.0,45
2020-05-25,34,1.27,1.0,0,.,98,124.0,64
2020-05-26,67,0.92,1.0,0,.,139,128.0,72
2020-05-27,82,1.25,1.0,0,.,176,220.0,94
2020-05-27,0,15.0,15.0,1,Beta (B.1.351-like),1,15.0,0
2020-05-28,34,1.44,1.0,0,.,99,143.0,65
2020-05-29,28,1.65,1.0,1,.,85,140.0,56
2020-05-30,54,0.95,0.0,0,.,103,98.0,49
2020-05-31,34,0.93,0.0,0,.,61,57.0,27
2020-06-01,62,1.9,1.0,1,.,230,437.0,167
2020-06-02,73,1.57,1.0,6,.,176,277.0,97
2020-06-03,33,2.09,1.0,5,.,89,186.0,51
2020-06-03,0,29.0,29.0,1,Alpha (B.1.1.7-like),1,29.0,0
2020-06-04,35,1.36,1.0,1,.,108,147.0,72
2020-06-05,50,1.27,1.0,1,.,111,141.0,60
2020-06-06,25,1.85,1.0,2,.,66,122.0,39
2020-06-07,68,1.74,1.0,2,.,184,321.0,114
2020-06-08,87,1.56,1.0,5,.,273,427.0,181
2020-06-09,112,1.58,1.0,10,.,276,437.0,154
2020-06-10,149,1.27,1.0,6,.,327,415.0,172
2020-06-11,195,1.2,0.0,4,.,386,462.0,187
