,date,exact_matches,mean_hmm_cost,median_hmm_cost,rejected,scorpio,total,total_hmm_cost,inserted
0,2020-01-01,0,24.0,24.0,1,.,1,24.0,0
1,2020-01-10,0,15.0,15.0,1,.,1,15.0,0
2,2020-01-19,0,3.0,3.0,0,.,1,3.0,1
3,2020-01-24,0,1.0,1.0,0,.,2,2.0,2
4,2020-01-25,2,1.0,1.0,0,.,4,4.0,2
5,2020-01-28,1,1.6,1.0,0,.,5,8.0,4
6,2020-01-29,2,4.6,2.0,1,.,5,23.0,2
7,2020-01-30,2,2.0,3.0,0,.,11,22.0,9
8,2020-01-31,0,2.0,2.0,0,.,1,2.0,1
9,2020-02-01,1,2.07,2.0,0,.,14,29.0,13
10,2020-02-02,3,1.58,1.0,0,.,12,19.0,9
11,2020-02-03,0,1.5,1.0,0,.,6,9.0,6
12,2020-02-04,0,2.12,1.5,0,.,8,17.0,8
13,2020-02-05,3,1.0,0.0,0,.,4,4.0,1
14,2020-02-06,1,1.8,2.0,0,.,5,9.0,4
15,2020-02-07,2,0.67,0.0,0,.,3,2.0,1
16,2020-02-08,1,1.4,1.0,0,.,5,7.0,4
17,2020-02-09,2,1.25,1.0,0,.,4,5.0,2
18,2020-02-10,0,8.67,9.0,4,.,6,52.0,2
19,2020-02-11,1,0.5,0.5,0,.,2,1.0,1
20,2020-02-13,2,0.5,0.5,0,.,4,2.0,2
21,2020-02-14,6,2.57,0.0,1,.,7,18.0,0
22,2020-02-15,2,1.83,2.0,0,.,6,11.0,4
23,2020-02-16,3,0.4,0.0,0,.,5,2.0,2
24,2020-02-18,2,0.0,0.0,0,.,2,0.0,0
25,2020-02-19,2,0.0,0.0,0,.,2,0.0,0
26,2020-02-20,2,0.0,0.0,0,.,2,0.0,0
27,2020-02-21,1,1.0,1.0,0,.,3,3.0,2
28,2020-02-22,1,0.0,0.0,0,.,1,0.0,0
29,2020-02-23,1,0.0,0.0,0,.,1,0.0,0
30,2020-02-24,4,0.57,0.0,0,.,7,4.0,3
31,2020-02-25,5,1.1,0.5,0,.,10,11.0,5
32,2020-02-26,11,0.4,0.0,0,.,15,6.0,4
33,2020-02-27,14,1.17,1.0,0,.,30,35.0,16
34,2020-02-28,26,0.54,0.0,0,.,37,20.0,11
35,2020-02-29,24,0.54,0.0,0,.,35,19.0,11
36,2020-03-01,9,0.87,0.0,0,.,15,13.0,6
37,2020-03-02,12,1.17,0.0,0,.,18,21.0,6
38,2020-03-03,18,0.46,0.0,0,.,28,13.0,10
39,2020-03-04,24,0.8,0.0,0,.,41,33.0,17
40,2020-03-05,30,0.36,0.0,0,.,39,14.0,9
41,2020-03-06,28,0.57,0.0,0,.,44,25.0,16
42,2020-03-07,12,1.0,1.0,0,.,28,28.0,16
43,2020-03-08,21,0.62,0.0,0,.,29,18.0,8
44,2020-03-09,31,0.77,0.0,0,.,53,41.0,22
45,2020-03-10,43,0.92,0.0,2,.,74,68.0,29
46,2020-03-11,41,1.13,1.0,0,.,95,107.0,54
47,2020-03-12,68,0.71,0.0,0,.,125,89.0,57
48,2020-03-13,53,0.91,1.0,0,.,108,98.0,55
49,2020-03-14,65,0.7,0.0,0,.,115,80.0,50
50,2020-03-15,46,0.78,0.0,0,.,89,69.0,43
51,2020-03-16,83,0.75,0.0,0,.,150,113.0,67
52,2020-03-17,91,0.7,0.0,0,.,159,112.0,68
53,2020-03-17,0,24.0,24.0,1,B.1.617.1-like,1,24.0,0
54,2020-03-18,87,0.8,0.0,0,.,163,131.0,76
55,2020-03-19,95,0.98,1.0,0,.,237,233.0,142
56,2020-03-19,0,21.0,21.0,1,B.1.617.1-like,1,21.0,0
57,2020-03-20,118,1.17,1.0,0,.,301,351.0,183
58,2020-03-21,159,0.81,0.0,0,.,307,250.0,148
59,2020-03-22,162,0.76,0.0,1,.,304,232.0,141
60,2020-03-23,221,0.82,1.0,0,.,465,379.0,244
61,2020-03-24,234,0.89,1.0,1,.,503,447.0,268
62,2020-03-25,284,0.66,0.0,1,.,488,321.0,203
63,2020-03-26,267,0.77,0.0,0,.,526,405.0,259
64,2020-03-27,315,0.74,0.0,0,.,619,460.0,304
65,2020-03-28,273,0.82,0.0,0,.,533,437.0,260
